0.5000		0.1001000		10.01
1.0000		0.1001000		10.01
3.0000		0.1001000		10.01
3.0190		0.1001000		10.01
3.0200		0.0986000		9.86
3.0300		0.0997000		9.97
3.0500		0.0991000		9.91
3.0700		0.0994000		9.94
3.0900		0.0989000		9.89
3.1700		0.0977000		9.77
3.1800		0.0977000		9.77
3.2000		0.0970000		9.7
3.2200		0.0982000		9.82
3.2400		0.0977000		9.77
3.2500		0.0985000		9.85
3.2800		0.0982000		9.82
3.3100		0.0979000		9.79
3.3400		0.0977000		9.77
3.3500		0.0976000		9.76
3.3800		0.0976000		9.76
3.3900		0.0973000		9.73
3.4100		0.0974000		9.74
3.4300		0.0968000		9.68
3.4500		0.0970000		9.7
3.4700		0.0969000		9.69
3.5200		0.0974000		9.74
3.6300		0.0977000		9.77
3.7900		0.0969000		9.69
4.1600		0.0966000		9.66
4.2500		0.0976000		9.76
4.3800		0.0972000		9.72
4.6500		0.0968000		9.68
5.2900		0.0969000		9.69
5.6400		0.0975000		9.75
5.8800		0.0973000		9.73
5.9400		0.0972000		9.72
6.0100		0.0972000		9.72
6.1100		0.0969000		9.69
6.1600		0.0970000		9.7
6.1800		0.0969000		9.69
6.4200		0.0973000		9.73
6.4900		0.0973000		9.73
6.6200		0.0978000		9.78
6.7900		0.0978000		9.78
6.8300		0.0980000		9.8
6.8700		0.0981000		9.81
7.0600		0.0978000		9.78
7.1800		0.0976000		9.76
7.2800		0.0976000		9.76
8.0500		0.0987000		9.87
8.8300		0.0987000		9.87
8.9100		0.0987000		9.87
8.9900		0.0987000		9.87
9.5400		0.0989000		9.89
9.5900		0.0990000		9.9
9.6900		0.0992000		9.92
10.2400		0.1000000		10
10.2800		0.1001000		10.01
10.3900		0.1001000		10.01
11.0100		0.1001000		10.01
11.0800		0.1001000		10.01
11.1500		0.1000000		10
11.9300		0.0973000		9.73
12.0700		0.0974000		9.74
12.1600		0.0976000		9.76
12.3100		0.0979000		9.79
12.3900		0.0978000		9.78
12.4700		0.0977000		9.77
13.0000		0.0977000		9.77
14.3000		0.0977000		9.77
