2.9	0.000
6.9	0.000
7.1	0.000
7.2	0.000
7.3	0.001
7.4	0.002
7.5	0.004
7.6	0.068
7.7	0.133
7.8	0.280
7.9	0.509
8.0	0.738
8.1	0.756
8.2	0.773
8.3	0.785
8.4	0.792
8.5	0.798
8.6	0.787
8.7	0.776
8.8	0.783
8.9	0.809
9.0	0.835
9.1	0.865
9.2	0.896
9.3	0.912
9.4	0.913
9.5	0.915
9.6	0.910
9.7	0.905
9.8	0.890
9.9	0.865
10.0	0.839
10.1	0.855
10.2	0.871
10.3	0.886
10.4	0.901
10.5	0.915
10.6	0.938
10.7	0.961
10.8	0.978
10.9	0.989
11.0	1.000
11.1	0.966
11.2	0.932
11.3	0.879
11.4	0.806
11.5	0.734
11.6	0.670
11.7	0.605
11.8	0.541
11.9	0.476
12.0	0.411
12.1	0.335
12.2	0.260
12.3	0.197
12.4	0.147
12.5	0.097
12.6	0.0097
12.7	0.00
14.3 0.0
