Zenith Azimuth source-H10-C2.dat
                   0 0.00000000000000e+000 1.00000000000000e+001 2.00000000000000e+001 3.00000000000000e+001 4.00000000000000e+001 5.00000000000000e+001 6.00000000000000e+001 7.00000000000000e+001 8.00000000000000e+001 9.00000000000000e+001 1.00000000000000e+002 1.20000000000000e+002 1.50000000000000e+002 1.80000000000000e+002 
0.00000000000000e+000 2.40717711178368e+000 3.27493318184755e+000 4.42601429269737e+000 5.71828431005464e+000 6.77946301898092e+000 7.28189084630279e+000 7.39055440976015e+000 7.64994065570761e+000 9.08608782552942e+000 1.30275136589049e+001 3.53263452526201e-002 6.52227513406300e-003 2.09021267782350e-003 1.64066268689050e-003 
1.50000000000000e+001 2.40717711178368e+000 3.49822196509000e+000 5.20332814130711e+000 7.67970687990261e+000 1.05244583732337e+001 1.19292344472557e+001 1.16073529627696e+001 1.13136279321026e+001 1.26727580690504e+001 1.71576281687261e+001 4.42986365251370e-002 7.54046758807550e-003 2.17024569964900e-003 1.64066268689050e-003 
3.00000000000000e+001 2.40717711178368e+000 3.63101818850345e+000 5.74216957309886e+000 9.55921104646559e+000 1.82971109835117e+001 2.48202604937960e+001 1.72725111914642e+001 1.49233824262376e+001 1.57500453584817e+001 2.04371383699935e+001 5.09673292932145e-002 8.22351907373500e-003 2.21530426481100e-003 1.64066268689050e-003 
4.50000000000000e+001 2.40717711178368e+000 3.64520024055190e+000 5.80397602543397e+000 9.81908202964609e+000 2.11944400995309e+001 3.41683117612039e+001 1.84185413268543e+001 1.54233746506273e+001 1.61385565064852e+001 2.08291594011510e+001 5.17373741908590e-002 8.29861065015550e-003 2.22000963108350e-003 1.64066268689050e-003 
6.00000000000000e+001 2.40717711178368e+000 3.53756883043815e+000 5.35577699629802e+000 8.14625736309917e+000 1.17183171218729e+001 1.34917100237234e+001 1.28086955504149e+001 1.22205084908317e+001 1.34923859636582e+001 1.80611075012650e+001 4.61772010305790e-002 7.73908809999651e-003 2.18378523503700e-003 1.64066268689050e-003 
7.50000000000000e+001 2.40717711178368e+000 3.33145256343620e+000 4.60922388052982e+000 6.13213282515488e+000 7.46422089168635e+000 8.10660153429209e+000 8.19566947808775e+000 8.39941711982132e+000 9.86225153354377e+000 1.39496478004465e+001 3.73651728386180e-002 6.74569114597449e-003 2.11100518341800e-003 1.64066268689050e-003 
9.00000000000000e+001 2.40717711178368e+000 3.06754605423960e+000 3.80935557062222e+000 4.48544574847401e+000 4.93048032263536e+000 5.11667518846100e+000 5.21692959695763e+000 5.53865057287816e+000 6.81799177410712e+000 1.02015052508263e+001 2.87046253658080e-002 5.72787914618250e-003 2.02796062123950e-003 1.64066268689050e-003 
1.05000000000000e+002 2.40717711178368e+000 2.78643875721875e+000 3.10084132068399e+000 3.29298423411106e+000 3.35844281417043e+000 3.35744209560112e+000 3.41691178032047e+000 3.70522458838291e+000 4.73595227843562e+000 7.47859146199703e+000 2.20521934159300e-002 4.84746934826100e-003 1.96683791473000e-003 1.64066268689050e-003 
1.20000000000000e+002 2.40717711178368e+000 2.51562849493979e+000 2.53088331845316e+000 2.46852659706412e+000 2.38219629999466e+000 2.31939493868508e+000 2.36070118581504e+000 2.60400543215111e+000 3.44331401527486e+000 5.72908812758548e+000 1.76321554130265e-002 4.21907735367100e-003 1.91867639571350e-003 1.64066268689050e-003 
