Zenith Azimuth source-H10-C2.dat
                   0 0.00000000000000e+000 2.00000000000000e+001 4.00000000000000e+001 6.00000000000000e+001 8.00000000000000e+001 9.00000000000000e+001 1.20000000000000e+002 1.50000000000000e+002 1.80000000000000e+002 
0.00000000000000e+000 2.40717711178368e+000 4.42601429269737e+000 6.77946301898092e+000 7.39055440976015e+000 9.08608782552942e+000 1.30275136589049e+001 6.52227513406300e-003 2.09021267782350e-003 1.64066268689050e-003 
3.00000000000000e+001 2.40717711178368e+000 5.74216957309886e+000 1.82971109835117e+001 1.72725111914642e+001 1.57500453584817e+001 2.04371383699935e+001 8.22351907373500e-003 2.21530426481100e-003 1.64066268689050e-003 
6.00000000000000e+001 2.40717711178368e+000 5.35577699629802e+000 1.17183171218729e+001 1.28086955504149e+001 1.34923859636582e+001 1.80611075012650e+001 7.73908809999651e-003 2.18378523503700e-003 1.64066268689050e-003 
9.00000000000000e+001 2.40717711178368e+000 3.80935557062222e+000 4.93048032263536e+000 5.21692959695763e+000 6.81799177410712e+000 1.02015052508263e+001 5.72787914618250e-003 2.02796062123950e-003 1.64066268689050e-003 
1.20000000000000e+002 2.40717711178368e+000 2.53088331845316e+000 2.38219629999466e+000 2.36070118581504e+000 3.44331401527486e+000 5.72908812758548e+000 4.21907735367100e-003 1.91867639571350e-003 1.64066268689050e-003 
1.50000000000000e+002 2.40717711178368e+000 1.78271907764240e+000 1.40352198589296e+000 1.39422486203943e+000 2.27198075028951e+000 4.13299561430598e+000 3.71284458266500e-003 1.96411580339100e-003 1.64066268689050e-003 
1.80000000000000e+002 2.40717711178368e+000 1.40848661472828e+000 1.03512194817741e+000 1.08568234074190e+000 1.98323875189221e+000 3.78710223182224e+000 4.02809644074900e-003 2.18780212590500e-003 1.64066268689050e-003 
2.10000000000000e+002 2.40717711178368e+000 1.26785417683198e+000 9.22856090780519e-001 1.01081174072780e+000 1.95658390567806e+000 3.85536055499794e+000 4.62506080429950e-003 2.40724290112850e-003 1.64066268689050e-003 
2.40000000000000e+002 2.40717711178368e+000 1.30046909348736e+000 9.48551558197549e-001 1.02635735053887e+000 1.95478996003521e+000 3.82321423362069e+000 4.45938615298350e-003 2.35388294413850e-003 1.64066268689050e-003 
2.70000000000000e+002 2.40717711178368e+000 1.51702609572514e+000 1.13864865629608e+000 1.16465947001031e+000 2.03260760181866e+000 3.84188343630458e+000 3.82811045072250e-003 2.08285548642600e-003 1.64066268689050e-003 
3.10000000000000e+002 2.40717711178368e+000 2.26981497721333e+000 2.00798972872045e+000 1.97094559375877e+000 2.96792797534566e+000 5.05636576761253e+000 3.96369048025400e-003 1.91268634805750e-003 1.64066268689050e-003 
3.30000000000000e+002 2.40717711178368e+000 2.95973002576565e+000 3.09392277534179e+000 3.12590233688438e+000 4.37701838286221e+000 7.00966844528904e+000 4.67570462617450e-003 1.95187512012000e-003 1.64066268689050e-003 
3.60000000000000e+002 2.40717711178368e+000 4.42601479774737e+000 6.77946557403592e+000 7.39055761976515e+000 9.08609248052943e+000 1.30275162589549e+001 6.52227563406300e-003 2.09021283282350e-003 1.64066268689050e-003 
