% time inp1 sine1 sum3 pulse1 sum1 sum2 lim1 filt1 ingr1 sum4 sum5 
0.56 0.614 0 0.614 0 0.614 0.341257 0.341257 0.350245 0.139875 0.614 -2 
0.57 0.616 0 0.616 0 0.616 0.33625 0.33625 0.349905 0.143376 0.616 -2 
0.58 0.618 0 0.618 0 0.618 0.331249 0.331249 0.349428 0.146872 0.618 -2 
0.59 0.62 0 0.62 0 0.62 0.326256 0.326256 0.348817 0.150363 0.62 -2 
0.6 0.622 0 0.622 0 0.622 0.321273 0.321273 0.348076 0.153848 0.622 -2 
0.61 0.624 0 0.624 0 0.624 0.316304 0.316304 0.347211 0.157324 0.624 -2 
0.62 0.626 0 0.626 0 0.626 0.311351 0.311351 0.346224 0.160791 0.626 -2 
0.63 0.628 0 0.628 0 0.628 0.306417 0.306417 0.34512 0.164248 0.628 -2 
0.64 0.63 0 0.63 0 0.63 0.301504 0.301504 0.343904 0.167693 0.63 -2 
0.65 0.632 0 0.632 0 0.632 0.296613 0.296613 0.342578 0.171126 0.632 -2 
0.66 0.634 0 0.634 0 0.634 0.291749 0.291749 0.341148 0.174544 0.634 -2 
0.67 0.636 0 0.636 0 0.636 0.286911 0.286911 0.339616 0.177948 0.636 -2 
0.68 0.638 0 0.638 0 0.638 0.282104 0.282104 0.337987 0.181336 0.638 -2 
0.69 0.64 0 0.64 0 0.64 0.277328 0.277328 0.336265 0.184707 0.64 -2 
0.7 0.642 0 0.642 0 0.642 0.272585 0.272585 0.334453 0.188061 0.642 -2 
0.71 0.644 0 0.644 0 0.644 0.267878 0.267878 0.332555 0.191396 0.644 -2 
0.72 0.646 0 0.646 0 0.646 0.263208 0.263208 0.330574 0.194712 0.646 -2 
0.73 0.648 0 0.648 0 0.648 0.258577 0.258577 0.328515 0.198007 0.648 -2 
0.74 0.65 0 0.65 0 0.65 0.253986 0.253986 0.32638 0.201282 0.65 -2 
0.75 0.652 0 0.652 0 0.652 0.249437 0.249437 0.324173 0.204534 0.652 -2 
0.76 0.654 0 0.654 0 0.654 0.244931 0.244931 0.321897 0.207765 0.654 -2 
0.77 0.656 0 0.656 0 0.656 0.24047 0.24047 0.319556 0.210972 0.656 -2 
0.78 0.658 0 0.658 0 0.658 0.236056 0.236056 0.317154 0.214156 0.658 -2 
0.79 0.66 0 0.66 0 0.66 0.231689 0.231689 0.314692 0.217315 0.66 -2 
0.8 0.662 0 0.662 0 0.662 0.22737 0.22737 0.312175 0.220449 0.662 -2 
0.81 0.664 0 0.664 0 0.664 0.223102 0.223102 0.309605 0.223558 0.664 -2 
0.82 0.666 0 0.666 0 0.666 0.218884 0.218884 0.306986 0.226641 0.666 -2 
